player,player_id,team,season,lg,replaced
Scottie Barnes,barnesc01,Team Stars,2026,NBA,FALSE
Devin Booker,bookede01,Team Stars,2026,NBA,FALSE
Cade Cunningham,cunnica01,Team Stars,2026,NBA,FALSE
Anfernee Hardaway,hardaan01,East,1998,NBA,FALSE
Tim Hardaway,hardati01,East,1998,NBA,FALSE
Marvin Barnes,barnema01,All Stars,1976,ABA,FALSE
